Observing List: "Collimation Stars"
Name, Common Names, Catalog Numbers, RA (J2000), Dec (J2000)
Haedus II, "Haedus II;Hoedus II", "Eta Aur;10 Aur;HR 1641;HD 32630;SAO 40026;BD +41 1058;HIP 23767;TYC 2899-2237-1", 05h 06m 30.89s, 41° 14′ 4.11″
Al Kab, "Al Kab;Hassaleh", "Iota Aur;3 Aur;HR 1577;HD 31398;SAO 57522;BD +32 855;HIP 23015;TYC 2391-1446-1", 04h 56m 59.62s, 33° 9′ 57.92″
$k Dra, "", "Kappa Dra;5 Dra;HR 4787;HD 109387;SAO 7593;BD +70 703;HIP 61281;TYC 4394-1870-1", 12h 33m 28.94s, 69° 47′ 17.66″
Gianfar, "Gianfar", "Lambda Dra;1 Dra;HR 4434;HD 100029;SAO 15532;BD +70 665;HIP 56211;TYC 4392-1805-1", 11h 31m 24.22s, 69° 19′ 51.87″
Alzirr, "Alzirr", "Xi Gem;31 Gem;HR 2484;HD 48737;SAO 96074;BD +13 1396;HIP 32362;TYC 0754-2356-1", 06h 45m 17.36s, 12° 53′ 44.13″
$z Hya, "", "Zet Hya;16 Hya;HR 3547;HD 76294;SAO 117264;BD +06 2060;HIP 43813;TYC 0225-1116-1", 08h 55m 23.63s, 5° 56′ 44.03″
$i Hya, "", "Iota Hya;35 Hya;HR 3845;HD 83618;SAO 137035;BD -00 2231;HIP 47431;TYC 4894-2529-1", 09h 39m 51.36s, -1° 8′ 34.12″
Ras Elased Australis, "Ras Elased Australis;Algenubi", "Epsilon Leo;17 Leo;HR 3873;HD 84441;SAO 81004;BD +24 2129;HIP 47908;TYC 1960-1550-1", 09h 45m 51.07s, 23° 46′ 27.32″
Chertan, "Chertan;Chort;Coxa", "Theta Leo;70 Leo;HR 4359;HD 97633;SAO 99512;BD +16 2234;HIP 54879;TYC 1437-2847-1", 11h 14m 14.41s, 15° 25′ 46.45″
Ras Elased Borealis, "Ras Elased Borealis;Rasalas", "Mu Leo;24 Leo;HR 3905;HD 85503;SAO 81064;BD +26 2019;HIP 48455;TYC 1964-1473-1", 09h 52m 45.82s, 26° 0′ 25.03″
Samoht, "Samoht", "Alpha Mon;26 Mon;HR 2970;HD 61935;SAO 134986;BD -09 2172;HIP 37447;TYC 5414-2746-1", 07h 41m 14.83s, -9° 33′ 4.07″
Tania Borealis, "Tania Borealis;Alkafzah Borealis", "Lambda UMa;33 UMa;HR 4033;HD 89021;SAO 43268;BD +43 2005;HIP 50372;TYC 3007-1286-1", 10h 17m 05.79s, 42° 54′ 51.71″
Tania Australis, "Tania Australis;Alkafzah Australis", "Mu UMa;34 UMa;HR 4069;HD 89758;SAO 43310;BD +42 2115;HIP 50801;TYC 3004-1418-1", 10h 22m 19.74s, 41° 29′ 58.26″
Al Kaphrah, "Al Kaphrah", "Chi UMa;63 UMa;HR 4518;HD 102224;SAO 43886;BD +48 1966;HIP 57399;TYC 3452-2140-1", 11h 46m 03.01s, 47° 46′ 45.86″
$y UMa, "", "Psi UMa;52 UMa;HR 4335;HD 96833;SAO 43629;BD +45 1897;HIP 54539;TYC 3012-2519-1", 11h 09m 39.81s, 44° 29′ 54.55″
Praecipua, "Praecipua", "46 LMi;HR 4247;HD 94264;SAO 62297;BD +34 2172;HIP 53229;TYC 2521-2271-1", 10h 53m 18.70s, 34° 12′ 53.54″
$d Crt, "", "Delta Crt;12 Crt;HR 4382;HD 98430;SAO 156605;BD -13 3345;HIP 55282;TYC 5514-1423-1", 11h 19m 20.45s, -14° 46′ 42.75″
$m Hya, "", "Mu Hya;42 Hya;HR 4094;HD 90432;SAO 155980;BD -16 3052;HIP 51069;TYC 6061-1134-1", 10h 26m 05.43s, -16° 50′ 10.65″
$n Hya, "", "Nu Hya;HR 4232;HD 93813;SAO 156256;BD -15 3138;HIP 52943;TYC 6075-1831-1", 10h 49m 37.49s, -16° 11′ 37.13″
Pherkad, "Pherkad", "Gamma UMi;13 UMi;HR 5735;HD 137422;SAO 8220;BD +72 679;HIP 75097;TYC 4414-2314-1", 15h 20m 43.72s, 71° 50′ 2.46″
Nekkar, "Nekkar;Meres", "Beta Boo;42 Boo;HR 5602;HD 133208;SAO 45337;BD +40 2840;HIP 73555;TYC 3047-1258-1", 15h 01m 56.76s, 40° 23′ 26.04″
$p Her, "", "Pi Her;67 Her;HR 6418;HD 156283;SAO 65890;BD +36 2844;HIP 84380;TYC 2604-1774-1", 17h 15m 02.83s, 36° 48′ 32.98″
$e Ser, "", "Epsilon Ser;37 Ser;HR 5892;HD 141795;SAO 121218;BD +04 3069;HIP 77622;TYC 0360-1226-1", 15h 50m 48.97s, 4° 28′ 39.83″
$q Her, "", "Theta Her;91 Her;HR 6695;HD 163770;SAO 66485;BD +37 2982;HIP 87808;TYC 2620-2298-1", 17h 56m 15.18s, 37° 15′ 1.95″
